player_name,team,position,nation,pass_accuracy,passes_attempted,passes_completed,cross_accuracy,crosses_attempted,crosses_completed,free_kicks
Dan Burn,Newcastle,UNKNOWN,ENG,86.28,488.0,428.0,0.0,2.0,0.0,4.0
Bradley Barcola,Paris,UNKNOWN,FRA,86.25,342.0,297.0,33.34,9.0,3.0,0.0
Ousmane Dembélé,Paris,UNKNOWN,FRA,86.25,255.0,216.0,38.47,13.0,5.0,1.0
Romeo Vermant,Club Brugge,UNKNOWN,BEL,86.25,87.0,67.0,0.0,2.0,0.0,1.0
Kylian Mbappé,Real Madrid,STRIKER,FRA,86.23,293.0,249.0,40.0,5.0,2.0,2.0
Lucas Vázquez,Leverkusen,STRIKER,ESP,86.2,163.0,142.0,36.37,11.0,4.0,1.0
Eljif Elmas,Napoli,CENTRAL_MIDFIELDER,MKD,86.15,187.0,167.0,35.72,14.0,5.0,4.0
Aleksandar Stanković,Club Brugge,UNKNOWN,SRB,86.1,467.0,409.0,25.0,4.0,1.0,10.0
Maghnes Akliouche,Monaco,UNKNOWN,FRA,86.1,337.0,290.0,0.0,9.0,0.0,4.0
Ramy Bensebaini,B. Dortmund,CENTRE_BACK,ALG,86.0,548.0,471.0,16.67,12.0,2.0,30.0
Matteo Ruggeri,Atleti,UNKNOWN,ITA,86.0,470.0,404.0,29.04,31.0,9.0,3.0
Lloyd Kelly,Juventus,UNKNOWN,ENG,86.0,435.0,383.0,0.0,3.0,0.0,6.0
Bukayo Saka,Arsenal,WINGER,ENG,86.0,176.0,148.0,32.36,34.0,11.0,4.0
Davide Frattesi,Inter,UNKNOWN,ITA,86.0,89.0,77.0,0.0,2.0,0.0,4.0
Georges Mikautadze,Villarreal,FORWARD,GEO,86.0,61.0,52.0,0.0,1.0,0.0,0.0
Nuno Santos,Sporting CP,UNKNOWN,POR,86.0,53.0,46.0,36.37,11.0,4.0,1.0
João Mário,Juventus,UNKNOWN,POR,86.0,52.0,44.0,25.0,4.0,1.0,0.0
Alex Murphy,Newcastle,DEFENDER,IRL,86.0,50.0,43.0,0.0,0.0,0.0,0.0
Matteo Darmian,Inter,FULL_BACK,ITA,86.0,48.0,40.0,20.0,5.0,1.0,0.0
Ibon Sanchez,Athletic Club,MIDFIELDER,ESP,86.0,7.0,6.0,0.0,0.0,0.0,0.0
Leroy Sané,Galatasaray,WINGER,GER,85.9,334.0,285.0,38.47,13.0,5.0,2.0
Khephren Thuram,Juventus,DEFENSIVE_MIDFIELDER,FRA,85.89,303.0,265.0,20.0,5.0,1.0,7.0
Kassoum Ouattara,Monaco,UNKNOWN,FRA,85.86,88.0,69.0,11.12,9.0,1.0,1.0
Marc Casadó,Barcelona,UNKNOWN,ESP,85.84,162.0,146.0,0.0,1.0,0.0,2.0
Matteo Politano,Napoli,WINGER,ITA,85.84,150.0,129.0,28.95,38.0,11.0,1.0
Kevin Medina,Qarabağ,CENTRE_BACK,COL,85.8,499.0,432.0,100.0,1.0,1.0,25.0
